Username,RawMark
mbasnji9,3.50
mbasafw4,5.00
mbastxd8,6.50
mbasfep1,5.00
mbasagi8,8.50
mbasrrd1,7.00
mbasspj1,7.00
mbasfoq6,7.50
mbasifh1,8.00
mbasysz7,6.50
mbashbs7,5.50
mbasnug4,7.50
mbasogw4,9.50
mbasjba8,7.00
mbaspeb0,8.00
mbastve9,6.50
mbaswqs6,4.00
mbasyss8,7.00
mbasitv1,9.50
mbaswkt5,7.00
mbaslbr6,2.50
mbaslmi1,6.50
mbasrue6,8.00
mbasvsz9,7.50
mbaslks6,6.00
mbasrye8,8.00
mbasglb2,6.50
mbasobp0,6.00
mbasvlc8,6.50
mbasmko4,4.50
mbasqaz9,9.00
mbasybe0,4.50
mbasmee6,5.50
mbasyik7,6.50
mbaschr8,6.50
mbasarc5,7.00
mbasoto0,5.50
mbasfix3,7.00
mbasqmp6,6.00
mbasysk2,3.50
mbaskku7,5.00
mbasgnz4,7.00
mbaseve5,4.50
mbashvx2,8.50
mbasnpn2,5.50
mbaselh5,8.50
mbaszgm7,7.00
mbasgie0,6.00
mbasdwk9,9.00
mbasafe8,4.50
mbasang7,7.00
mbasrgt6,6.50
mbasfss3,6.00
mbastky6,8.50
mbasmie7,6.50
mbaspxa1,6.50
mbasvvs3,9.00
mbasvev1,6.50
mbasccm3,5.00
mbasflt6,7.50
mbasjvg8,7.00
mbastnm1,6.50
mbasqjn1,6.50
mbasvjn9,4.50
mbaside6,7.00
mbasavk3,7.00
mbasgbk5,5.00
mbaskwy2,9.50
