Username,RawAutogradedMark,RawManualMark,RawTotalMark
mbasnji9,2.00,1.50,3.50
mbasafw4,3.00,2.00,5.00
mbastxd8,2.00,4.50,6.50
mbasfep1,2.00,3.00,5.00
mbasagi8,5.00,3.50,8.50
mbasrrd1,4.00,3.00,7.00
mbasspj1,4.00,3.00,7.00
mbasfoq6,5.00,2.50,7.50
mbasifh1,4.00,4.00,8.00
mbasysz7,4.00,2.50,6.50
mbashbs7,3.00,2.50,5.50
mbasnug4,4.00,3.50,7.50
mbasogw4,5.00,4.50,9.50
mbasjba8,3.00,4.00,7.00
mbaspeb0,5.00,3.00,8.00
mbastve9,3.00,3.50,6.50
mbaswqs6,2.00,2.00,4.00
mbasyss8,5.00,2.00,7.00
mbasitv1,5.00,4.50,9.50
mbaswkt5,3.00,4.00,7.00
mbaslbr6,1.00,1.50,2.50
mbaslmi1,5.00,1.50,6.50
mbasrue6,5.00,3.00,8.00
mbasvsz9,4.00,3.50,7.50
mbaslks6,3.00,3.00,6.00
mbasrye8,5.00,3.00,8.00
mbasglb2,5.00,1.50,6.50
mbasobp0,3.00,3.00,6.00
mbasvlc8,4.00,2.50,6.50
mbasmko4,3.00,1.50,4.50
mbasqaz9,5.00,4.00,9.00
mbasybe0,3.00,1.50,4.50
mbasmee6,3.00,2.50,5.50
mbasyik7,4.00,2.50,6.50
mbaschr8,3.00,3.50,6.50
mbasarc5,4.00,3.00,7.00
mbasoto0,4.00,1.50,5.50
mbasfix3,4.00,3.00,7.00
mbasqmp6,4.00,2.00,6.00
mbasysk2,2.00,1.50,3.50
mbaskku7,3.00,2.00,5.00
mbasgnz4,4.00,3.00,7.00
mbaseve5,3.00,1.50,4.50
mbashvx2,5.00,3.50,8.50
mbasnpn2,3.00,2.50,5.50
mbaselh5,4.00,4.50,8.50
mbaszgm7,4.00,3.00,7.00
mbasgie0,3.00,3.00,6.00
mbasdwk9,5.00,4.00,9.00
mbasafe8,2.00,2.50,4.50
mbasang7,4.00,3.00,7.00
mbasrgt6,5.00,1.50,6.50
mbasfss3,3.00,3.00,6.00
mbastky6,4.00,4.50,8.50
mbasmie7,4.00,2.50,6.50
mbaspxa1,4.00,2.50,6.50
mbasvvs3,5.00,4.00,9.00
mbasvev1,4.00,2.50,6.50
mbasccm3,3.00,2.00,5.00
mbasflt6,5.00,2.50,7.50
mbasjvg8,4.00,3.00,7.00
mbastnm1,3.00,3.50,6.50
mbasqjn1,4.00,2.50,6.50
mbasvjn9,3.00,1.50,4.50
mbaside6,4.00,3.00,7.00
mbasavk3,4.00,3.00,7.00
mbasgbk5,3.00,2.00,5.00
mbaskwy2,5.00,4.50,9.50
